,singer,song
668,Krafty Kuts,Freakshow (Remix)
669,Freddie Cruger,Jazz flow
670,John Lee Hooker,Don't You Remember Me (Aug 1950)
671,Calliope,Three Spanish Songs
672,The New York Dolls,Bad Detective
673,Ian Whitcomb,A Little Street Where Old Friends Meet (1932)
674,PC Synergy,Head Room
675,Rip Van Hippy,Black Lodge
676,Health,Problem Is (Thrust Lab Remix)
677,Wencke Myhre,Das wär John nie passiert
678,Velour 100,Bittersweet
679,Treepeople,Tongues On Thrones
680,Ustad Nusrat Fateh Ali Khan / Ustad Sultan Khan,Main To Piya Se Naina Lagaa Aayi Re
681,Moving Units,Available
682,Gerald Levert,Cornell West/Tavis Smiley Interlude (Spoken Word Version)
683,John Hiatt,Walk On
684,Jonas Game,Kids N' Dreamers
685,Tumi And The Volume,Signs
686,Pedro Garcia & His Del Prado Orchestra,Capullito De Alheli
687,Zoegirl,I Believe (Riverside Remix)
688,Controllers,Hard Digital
689,Radka Toneff,Just Like A Woman
690,Walker Brothers,Here Comes The Night
691,Micho Russell,The Poor Little Fisherboy
692,Michael Reno Harrell,You Think You Know
693,Pablo Milanés / Chucho Valdes,Choteo
694,DZ,Play The Music
695,Mad Lion,Shoot To Kill (LP Version)
696,Paul Ritch,Just Two
697,Soraya,En Esta Noche
698,Camille Jones,What About You (Push The Tempo Refix)
699,Emancipator,Rattlesnakes
700,Loudermilk,Kreates A Presence To Blush
701,Avantasia,Chalice Of Agony
702,MC Harras & The Sendling 70 Pussy Riders,Weil Du's Verdient Hast Und Weil Du Es Brauchst
703,John Davis,Goddbye For Now
704,23 Skidoo,Interzonal
705,Phollox,Yangtze river dub
706,Lil' Chris,Figure It Out
707,Yolandita Monge,Cierra Los Ojos Y Juntos Recordemos
708,Trio Los Panchos & Chucho Martinez Gil,La Bamba
709,At The Gates,The Red In The Sky Is Ours / The Season To Come
710,Belphegor,Der Geistertreiber
711,Heavy,Jokes On You
712,Rakim,Original Style
713,Parker & Lily,For C.L. (Iowa Is Passing By)
714,DeGarmo & Key,Can't Stand Still (Phase Ii Album Version)
715,The Telepathic Butterflies,Cheerleader
716,White Rabbits,First Song (untitled)
717,Black Uhuru,Youth
718,Six Finger Satellite,... (Album)
719,Ten Volt Shock,On The List
720,Stephan Micus,Padre - Duduk Solo
721,Tia Carrera,Hell
722,ANA BELEN Y VICTOR MANUEL,Matador
723,Jeru The Damaja,Seinfeld
724,Senser,6's & 7's
725,Cornelius Brothers & Sister Rose,Treat Her Like A Lady
726,Poshout Feat. Victoria Raznyh,Fallen World
727,Mary Flower,Wrap Your Troubles in Dreams
728,Guillemots,Standing On The Last Star
729,Ubar Tmar,The Prophecy
730,The Herbaliser featuring Blade,Time To Build
731,Jan Eggum,Se Og Se
732,Dark Fortress,Cohorror
733,The Vines,Don't Listen To The Radio
734,Pascow,Lauf Forrest_ Lauf!
735,Metro Area,Orange Alert (DFA Remix)
736,Colin Spring,Fingerholds of Avalon
737,Chad & Jeremy,September In The Rain
738,Los Fabulosos,Alma Corazon y Vida
739,Soul Stalker,Changes
740,Scouting for Girls,You Were Fitter In Your Myspace Picture
741,Turbostaat,Peterantjesieböhm
742,Junior Reid,Oh Happy Day
743,Cueshé,Sky
744,Mothers Little Helpers,Beautiful
745,Jazzamor,Einfach Leben (Featuring Publique)
746,The Raveonettes,The Beat Dies
747,EVERMORE,This Is Love
748,Gary Numan,Airlane (live 79)
749,Craig Urquhart,Vesper Hymn
750,Swirlies,Sneaky Flutes 3
751,Abdoulaye Diabaté,Dadiou
752,International Pony,Hangin' Around '03
753,The Clovers,Fool Fool Fool
754,Kotipelto,Once Upon A Time
755,Pino Daniele,L'Africano
756,Animal Collective,It's You
757,Johnny Thunders & The Heartbreakers,Get Off The Phone (Instrumental) (1976 demo)
758,Kiss,Lonely Is The Hunter
759,New Order,"Temptation [Alternate 12"" Mix Version] (Remastered)"
760,Bipolar Bear,Bah Nah Nah
761,Chicago,Italian From New York (LP Version)
762,Justin Hayward,Forever Autumn
763,The Jim Yoshii Pile-up,A Deep Deep Lake
764,Randy Bush,Giddyap A Gogo
765,ROXTAR Feat. Miriam R,Nobody To Love Me (J'danse Toute Seule)
766,Bigfoot,Hardbeat
767,Leeland,Too Much
768,Bob Dorough,Baby Used To Be
769,Bird Names,Days Elevated
770,Girlschool feat. Phil Campbell,Just another day
771,Attitude Adjustment,Out Of Hand
772,Barbarito Diez,Ensalada Mixta Cubana
773,Fanfare Ciocarlia,"Farewell March (feat. ""King"" Ioan Ivancea - Romania)"
774,Lovie Lee,Tricky Woman
775,Rod Taylor,Run Run
776,Chicago,You're Not Alone (Album / Single Version)
777,Sheek Louch,Give That Up
778,Jens O.,Find Your Way
779,JET,Black Hearts (On Fire)
780,Xzibit,Back 2 The Way It Was
781,Brainticket,Era Of Technology
782,Hank Jones_ Marion Cowings,When Your Lover Has Gone
783,John P. Kee,Soon
784,Blind Boy Fuller,When You Are Gone
785,Christopher O'Riley,bye
786,Spinnerette,A Spectral Suspension
787,Bleeding Through,French Inquisition
788,Groundation,Rock In Place
789,Spezializtz,Die letzten Tage
790,Little Tragedies,Hôtel des Invalides
791,Sam The Sham & The Pharaohs,(I'm In With) The Out Crowd
792,Bad Joke,Hybride
793,Motohiro Nakashima,Tuesday
794,Dark Distant Spaces,Money Counts
795,Celso Fonseca,Feriado
796,You Me At Six,If I Were In Your Shoes
797,Nichols,Tocam
798,Man Man,White Rice_ Brown Heart
799,Gladys Knight & The Pips,We've Got Such A Mellow Love
800,Paper Route,Second Chances
801,Los Violadores,Nelson Chess
802,Chipmunk,Beast
803,Sunscreem,Secrets
804,TLC,Whispering Playa
805,Drexciya,Draining of the Tanks
806,Bobbie Gentry,Delta Man
807,The Berzerker,Y
808,Canadian Brass,How Firm a Foundation
809,Tommy Boyce & Bobby Hart,Words [Demo]
810,Duane Allman / Delaney Bonnie & Friends,Livin On The Open Road
811,Disco Drive,All About This
812,Neljä Ruusua,James
813,Robert Lowery,My Sweet Baby
814,Signum,First Strike 2010
815,Wilbert Harrison,Let's Stick Together
816,Great Big Sea,Boston & St. John's
817,The Pribata Idaho,Failure To Heart
818,Beatriz Luengo,Africa
819,Pig & Dan,Deliverance (Late Mix)
820,Richard Grey,Thrilling The Deputy (Junior & Smiel Remix)
821,Nacho Chapado feat. Stephen Massa,B Somebody
822,Don Covay,Come On In (LP Version)
823,Sanctity,Lovers
824,Vassar Clements,Ft Worth Waltz (Album Version)
825,Eartha Kitt,Avril au Portugal
826,Mons Leidvin Takle,Prinsessen I Ballkjolen
827,Blues Company,747
828,1. Futurologischer Congress,Realität Nr. 1
829,Ill Bill,Thousands To M''s (Clean)
830,Mista,Crossroads (LP Version)
831,Jake the Flake,Out 2 Get Rich
832,The Wild Rover,The Currah Of Kildare
833,Small Towns Burn A Little Slower,A Tune Of Panic (Album Version)
834,Fireside,Wheeler
835,Luniz,Intro
836,Josh Joplin Group,Wonderful Ones
837,Cyrus Chestnut,Welllllll! (LP Version)
838,Pig Destroyer,Tickets To the Car Crash
839,Pablo Casals,12 Variations on Ein Mädchen oder Weibchnen from Mozart's Die Zauberflöte_ WoO.66
840,Point Of Grace,Before The Throne Of Grace (LP Version)
841,Keziah Jones,Cubic Space Division
842,Amerie,Losing U
843,Luke Slater,Take Me Round Again
844,Lisa Papineau,Saxophone Calypso
845,Måns Zelmerlöw,Whole New World
846,Moss,The Gush Of Boasts
847,CANDLEMASS,Bewitched (Live)
848,Rogue Traders,Better In The Dark
849,The Bronx Casket Company,Let My People Go
850,Gerald Albright,Take Your time
851,Gloria Trevi,Satisfecha
852,Chiens De Paille,Je me sens bien
853,Regina Belle,If I Ruled The World
854,Edwyn Collins,Now That It's Love
855,Govi,Amber Waves
856,Submersed,Life Without You
857,Jazzanova,Behold These Days (Berlin '74)
858,Brendan Benson,Tiny Spark
859,Sultan & Ned Shepard,Roads Under Ramallah
860,Kendra Shank,Being Me
861,Smokie Norful,The Least I Can Do
862,The Dears,Find Our Way To Freedom
863,Word,Funkydrama
864,Raekwon (Prod. By Icewater Productions),Canal Street
865,Dada,Jump Up
866,Anna Meliti,Mi M'Agapisis
867,Srebrna Krila,Razredne cure
868,Norma Winstone_ Glauco Venier_ Klaus Gesing,Distance
869,MJ Hibbett & the Validators,Billy Jones Is Dead
870,Glass Tiger,Someday (Single Version) (2004 Digital Remaster)
871,Lamb,Hallelujah (Lamb Favorites Album Version)
872,K.T. Oslin,Hold Me
873,Gino D'Auri,Barrio San Miguel
874,Dead Prez,Police State
875,Circle II Circle,Every Last Thing
876,Nestor Da Viola,Flor Do Cafezal
877,Jimmy Roses,For The Ladies Interlude
878,Marumari,Eight7`
879,Louie Cart,U.S.A. (Cajun French) (World)
880,Fire Ball,Step with Jungle Roots
881,Kluster,The Magic Of The Music (Original Mix)
882,The Jordanaires,Words
883,Rush,Limelight
884,Aleks Syntek/Benny,Viviendo por tí (dueto con Benny)
885,Makaton,The Feeding Circle
886,The Residents,My Work Is So Behind
887,Lost Immigrants,Something Better
888,Carole King,Stand Behind Me
889,Manix,Just me in the Attic
890,Proceed,Identität
891,No More Kings,Robots Don't Cry
892,Arab On Radar,Semen on the Mount
893,Chicago Afrobeat Project,BSCG2
894,Bloodstone,I Guess I'll Get The Papers And Go Home (LP Version)
895,Kleeer,Keeep Your Body Workin'
896,Eight Frozen Modules,Retention Yak
897,Gordon MacRae,You Try Somebody Else
898,Bill Laswell,Asiyah Dub - Blinding The Starry Eyes Of God
899,Connie Francis,Many Tears Ago
900,Mind Disruption,Belastungstest
901,Yahir,Teresa
902,Jan Wayne,Hello
903,Massed Choirs Of Yorkshire,Let All The World In Every Corner Sing
904,Maighread Ni Dhomhnaill,An Cailín Gaelach
905,Inner City Unit,Paint Your Windows White
906,Seal,Amazing [Thin White Duke Main]
907,Naked Raygun,I Don't Know
908,Santogold,Shove It [feat. SpankRock]
909,Butcher Boy,React Or Die
910,Stereophonic Space Sound Unlimited,Senor Lopez
911,X-Raided featuring C-Dubb_ Gangsta Reese,Jacramento
912,WC And The Maad Circle,Behind Closed Doors
913,DHC Meinhof,Everyday is Hell
914,Cesare Cremonini,Gongi Boy
915,Manolito Simonet y su Trabuco,Relampago
916,Los Toros Band,Popurri #3
917,Little Esther,Hollerin' And Screamin'
918,Fountains Of Wayne,Barbara H (LP Version)
919,Philipp Poisel,Mit jedem deiner Fehler
920,Quasi feat. Highjacker,Untertan der Woche Skit
921,Los Traileros Del Norte,Gracias Te Doy
922,Popa Chubby,P-O-P-A
923,Vanessa Daou,True
924,Maggotron,Atomic Bass Cats
925,Axwell & Sebastian Ingrosso,Together
926,Tears From The Sky,Misery Trails (Album Version)
927,Jackson Conti,Barumba
928,Jack Greene,All the Time
929,Mahogany,Optimism
930,Lord Nelson,Disco Daddy
931,Archie Edwards,How Long Blues
932,Eaststrikewest,Every Word and Whisper Said
933,The Youngbloods,Stagger Lee (Album Version)
934,Fama feat. ALAN T.,Here in Spirit (Sketch One & Insomniak Mix)
935,Freedom Call,Flying high
936,Jenna Drey,Killin' Me (Giuseppe D. Remix)
937,Midnite,Skull Dung
938,Chalk,Mothra
939,Mavericks,Mama Leverkusen
940,Nicole,Avalon
941,Eric Prydz,Pjanoo
942,Lorrie Morgan,One Less Monkey
943,Dead To Me,Don't Lie
944,Bernard Allison,Driven Wheel
945,Karin Krog,All Of You
946,Oliver Rohrbeck,Shutter Island Kap. 18
947,Shameless,Talk To Me
948,Falko Brocksieper,That Night
949,Fall Of Serenity,Knife To Meet You
950,Jude Cole,Right There Now (Album Version)
951,Joram,diemos
952,Ratos de Porão,Pobreza
953,Showtek,Save the day again (Trance Generators Remix)
954,DJ Paul,Beatin Dem Ho's Down
955,Randy Stonehill,The Gods Of Men (Extended Version)
956,Ted Gärdestad,Jag vill ha en egen måne
957,Clyde McPhatter and the Drifters,Honey Love
958,Aghast View,Groundzero (Clubzero Mix)
959,Rob Mullins,Body And Soul
960,Garageland,Not Empty
961,Jim Johnston,Rest In Peace
962,José Cid,S. Salvador Do Mundo
963,T Bone Burnett,Image
964,Ida Corr,King Of Misery
965,Trance Control,Hyperacusis
966,Seven Places,Even When
967,Canteca de macao,Los hijos del hambre no tienen mañana (con Juan y Pedro frotando las cuerdas)
968,Echo Is Your Love,Haste Nowhere
969,Gabriela Anders,All Your Love
970,Lafayette Afro Rock Band,M.f. grayson
971,Pixies,The Happening
972,Tepr,Achète-moi
973,Shakira,Costume Makes the Clown
974,Randy Crawford / Joe Sample,Save Your Love For Me
975,Hellnation,Medium [Originally By Comes] (Album)
976,Amplified Heat,Drivin
977,Morten Gunnar Larsen,King Porter Stomp
978,Wreckelekt,How It Used to Be
979,Mokoma,Hiljaisuuden Julistaja
980,Kaisa Korhonen,Uralin pihlaja
981,Shocking Pinks,Dressed To Please
982,Krypteria,No More Lies
983,Yuridia,Un Paso Mas
984,Charlie Walker,My Shoes Keep Walking Back To You
985,21st Century Symphony Orchestra,Since My Man Came Death - for As in Adam_ Even So in Christ
986,Bushido,Electrofaust
987,Jakobinarina,Sleeping In Seattle
988,The Appleseed Cast,Mountain Halo
989,Cyrus Chestnut,Blues For Nita (LP Version)
990,Gino Paoli,Questione Di Sopravvivenza
991,Heiner Goebbels,3. Aout 1890
992,Rattlemouth,Shadow of Finality
993,Milemarker,Installment Plan
994,Still Going,Spaghetti Circus
995,Desmond Dekker,Moving On
996,Melinda Santiago,Love To Love You
997,The RH Factor,Distractions (Intro)
998,The Nelons,Christians Never Say Goodbye
999,King Curtis,Misty
1000,Maurice Larcange,Comme Elle Est Longue A Mourir Ma Jeunesse
1001,Frank Morgan,Blue Monk
1002,Joe featuring Freeway,I Remember
1003,Cueshé,Quicksand
1004,Black Milk,Hidden Track
1005,Junior Parker,Mystery Train
1006,Pro>Tech,Erotic Ontology
1007,Merle Haggard & George Jones,Silver Eagle
1008,Bronnt Industries Kapital,Objects & Purpose
1009,Time Passing,Donne un peu de toi
1010,Checco Zalone,Telefonata Impossibile - Mi è Finito Il Credito
1011,Incubus,A Crow Left Of The Murder
1012,Sea Hags,Someday
1013,Wishkey,Last Summer
1014,Saint,Time After Time
1015,The Sick,My Solution
1016,The Wilde Flowers,He's Bad For You
1017,Recoil,Last Breath (2010 Digital Remaster)
1018,Soopa Fly,Lollipop (Explicit) (Album Version)
1019,Ophelia Ragtime Orchestra & Seim Songkor,Treemonisha'S Bringing Up
1020,Bob Wills,Cowboy Stomp
1021,Y-LUK-O,Disintegrate
1022,Jacques Dutronc,J'Ai Mis Un Tigre Dans Ma Guitare
1023,Kudu,Let's Finish What We Started
1024,Les Dudek,Lady You're Nasty
1025,Babyface,If We Try
1026,Kiave feat. Dj Lugi & Ghemon,Peace_ Love_ Unity & Having Fun (Bonus Track)
1027,Jackson 5,Who's Lovin' You
1028,Maria Bethânia,Rosa dos Ventos
1029,Frankie Paul,She Don't Want Nobody Else
1030,Snow Patrol,New Partner
1031,Atomic Kitten,Be With You (Graham Stack/Groove Brother 7'' Edit)
1032,Frank Proffitt,Old Abe
1033,Tora Tora,Phantom Rider
1034,Carbon Leaf,Blue Ridge Laughing
1035,Plankeye,Fall Down (The One And Only Album Version)
1036,Jimmy Riley,Bang Bang
1037,Chuck Berry,Rock And Roll Music
1038,Marasma,Ghost On Pills
1039,Ross Copperman,Found You
1040,The Monkees,I'll Spend My Life With You [Master Backing Track Take 9]
1041,Megablast,Onemoreminuteman
1042,James Ruskin,Solution
1043,Dog Vs Cat,Silent Thinkers W/ WBW
1044,Ala Dos Namorados,A História De Zé Passarinho (Live)
1045,Sum 41,Fat Lip
1046,Feng Shui,Feng Shui
1047,Michael Bublé,Summer Wind (Live)
1048,Her Candane,Sawtooth Naggren
1049,Tango & Cash,The Weekend 2009
1050,Sergio Dalma,No Te Separes De Mi
1051,The Wallflowers,One Headlight
1052,Quando Quango,Atom Rock (Fac 102R Remix)
1053,Triana Pura,Soleá de la cava de los gitanos
1054,Anberlin,A Heavy Hearted Work Of A Staggering Genius
1055,Ness,Fat Squared Necky
1056,Rufus And Chaka Khan,What Cha' Gonna Do For Me (Live Version)
1057,Volumia!,Dieper In De Nacht
1058,Michael Rose,Picture on the Wall
1059,Pride And Fall,Essence Of Angels
1060,Jack Nitzsche,Ringo
1061,CJ Stone,Shining Star
1062,Brotha Lynch Hung,24Deep
1063,Violent work of art,Requiem (for myself)
1064,Aghast View,Truthlike (Neural Reconstruction by Neuroactive)
1065,Neil Cleary,Nobody's Fool
1066,The Del McCoury Band,Are You Teasin' Me?
1067,Unknown,Live Skit
1068,The Christmas Jug Band,That's His Red Wagon (Parody by Dan Hicks_ based on That's Your Red Wagon)
1069,Normal Position,Nursery
1070,Artie Fishel & The Promised Band,You And The Night And The Music (You And The Knife And The Moishik)
1071,Eskimo Disco,What Is Woman?
1072,Aaliyah,Throw Your Hands Up
1073,The Heart Throbs,Go
1074,Zeni Geva,Desire For Agony
1075,The Teenagers,Love No (Tepr Remix)
1076,Acoustic Alchemy,Coffee With Manni
1077,Sá & Guarabyra,Vem Queimando A Nave Louca (Ao Vivo)
1078,Cat Stevens,18th Avenue (Kansas City Nightmare)
1079,Tony Orlando & Dawn,Who's In The Strawberry Patch With Sally
1080,Two Tone Club,Talk About Love
1081,The Nommos,Amma
1082,Joan Baez,Three Fishers
1083,Nick Holder,Carnival 2000
1084,Stray Dog,Tramp (How It Is) (First Mix With Overloaded Phaser)
1085,Hip Hop Hoodios,Havana Nagila (Ahi Nama! Mix)
1086,Commodores,Young Girls Are My Weakness
1087,Captain & Tennille,The Way I Want To Touch You
1088,Head Hits Concrete,You Never Learned to Dream
1089,Georgia White,Worried Head Blues
1090,Scienz of Life,Jazz Sessions (Intermission)
1091,L'âme Immortelle,Tiefster Winter
1092,Danny Barnes,Cat to the Rat
1093,Tuuli,Rockstar Boyfriends
1094,Franco,Never say never
1095,The Paul Butterfield Blues Band,Footprints On The Windshield Upside Down (LP Version)
1096,Caifanes,Pero Nunca Me Cai
1097,Willie Rosario,Por Que Será
1098,Delegation,You And I - Original (Original Mix)
1099,Leon Russell,I'm So Lonesome I Could Cry (1995 Digital Remaster)
1100,Lustans Lakejer,En lång natts färd mot dag
1101,Mesa (Portuguese Group),Vitamina
1102,Leo Sayer,Goodnight Old Friend
1103,The Dolly Rocker Movement,The Wiser Road
1104,Galt MacDermot;Tom Pierson,The Flesh Failures (Let The Sunshine In)
1105,Bouncing Souls_ The,Don't You (Forget About Me)
1106,DJ Manian vs. Tune Up!,Bounce
1107,Gary D.,Donnergott
1108,Jean-François Paillard,Suite in G major HWV350_ 'Water Music' : II Rigaudon
1109,Skyedance,A Stór Mo Chroí
1110,The Dells,Give Your Baby A Standing Ovation
1111,I Call Fives,Elevator Music
1112,Mikael Ramel,Lycklig ända in
1113,The Gambler Nun & Radio,Lepper Song
1114,Infernaeon,March Of Death
1115,Johnny Bond,The First Rose
1116,Alado Sincera,Di
1117,Nesli,Riot
1118,Felix Kröcher,decksharks
1119,The Dillinger Escape Plan,Clip The Apex...Accept Instruction
1120,Solomon Burke,All For The Love Of Sunshine
1121,Junior Parker,Funny How Time Slips Away
1122,Mahlathini and the Mahotella Queens,Kgarebe Tsaga Mothusi (Thuntshwane Basadi)
1123,Emilio Navaira,Que Puedo Hacer
1124,Bangalafumenga,Perigo
1125,Deerhunter,Twilight At Carbon Lake
1126,Plastic Noise Experience,Koma (V1.2)
1127,New Barbarians,Before They Make Me Run
1128,Hush Arbors,Nine Bones
1129,Los Caminantes,Una Noche
1130,Aim For The Sunrise,Saints Never Surrender
1131,See No Evil,Hurricane
1132,Cal Tjader,Bernies Tune
1133,Niyaz,Tamana
1134,Mark Stewart,Passcivecation Program
1135,The Maytals,Monkey Man
1136,Faust,SofTone
1137,General Fuzz,Bars Of Parmar
1138,Samuel L Session,Pulse
1139,The Battle Royale,You'll Be Fine
1140,Jil Caplan,Ainsi Vont Les Choses
1141,Because of Ghosts,Dreaming is Essential
1142,Mickie Krause,Nichts Reimt Sich Auf Uschi! (Das Halbfertige Lied)
1143,Diana Ross,Brown Baby/ Save The Children (Medley)
1144,Zero Le Crêche,Future King
1145,Klaus Lage Band,Nie Wieder Kind
1146,Flash And The Pan,Restless
1147,Alton Miller,Everyday I Do (Pawel Kobak Remix)
1148,Archer Prewitt,Let Me Fade Away
1149,White Belt Yellow Tag,We All Have Sound
1150,Saint Etienne,Only Love Can Break Your Heart
1151,Kenny Rogers,Love The World Away (1980)
1152,Dylan Rhymes,Near Madness
1153,Majke,Iz Sve Snage
1154,Jon Lord,Finale
1155,Ding Dong,My Own
1156,Jen Cloher,Dearest Friend
1157,B12 & Digitonal,Hall Of Mirrors
1158,Ophélie Winter,Je Cours
1159,Frank Zander,Bamboleo
1160,Charlie Wilson & His Hillbillies,Shelvin Rock
1161,Lenny White,Pick Pocket
1162,Luke Temple,Private Shipwreck
1163,Goa Gil,Closing Prayer
1164,Small Mercies,Where Were You When The World Stopped Turning?
1165,Emma Roberts,New Shoes
1166,Gipsy Kings,Mi Fandango
1167,The Toys,I Got A Man  (LP Version)
1168,Phil Kieran,World On Tv
1169,Zuzana Navarova & KOA,Horas Que Caen Sin Verte
1170,Gisele MacKenzie,Tiptoe Thru the Tulips
1171,Bal Paré,Natalie
1172,The Boxmasters,I Never Let You Cry
1173,Kate McGarry,Get Out of Town
1174,Mondo Marcio,Alza Le Mani
1175,Jenny Wilson,Motherhood
1176,Nicole Willis,Though U Tried
1177,Dr Zeus,Assi Haan Punjabi
1178,Peekaboo,Smile of Recognition
1179,Detsishi Ensemble,Alilo
1180,Martinho Da Vila,Tempero Do Prazer
1181,Bombay Rockers,Rock Tha Party
1182,Sakis Rouvas,SE THELO SAN TRELOS
1183,D.I.,Bitte Drehen
1184,Sound 5,Roger Tasty
1185,Bob Mould,See A Little Light
1186,Numatic Soul,Reflection
